설치동,설치주소,상세위치
신림동,서울특별시 관악구 남부순환로1615,신림동 신림역8번출구
신림동,서울특별시 관악구 신림로339,신림동 신림역6번출구 1433-4
행운동,서울특별시 관악구 남부순환로1937,행운동 낙성대역8번출구(남부순환로1937)
행운동,서울특별시 관악구 남부순환로1919,행운동 낙성대역5번출구(남부순환로1919)
중앙동,서울특별시 관악구 남부순환로 1820,중앙동 서울대6번출구(862-17)
중앙동,서울특별시 관악구 남부순환로 1817,중앙동서울대입구5번출구 
성현동,서울특별시 관악구 관악로237,성현동 관악로237
은천동,서울특별시 관악구 남부순환로 1729,은천동봉천역5번출구
은천동,서울특별시 관악구 남부순환로 1715,은천동봉천역4번출구 
청룡동,서울특별시 관악구 관악로 171,서울대입구불고기브라더스
청룡동,서울특별시 관악구 남부순환로 1814,서울대입구역4번출구 
낙성대동,서울특별시 관악구 관악로 172 ,낙성대동 서울대2번출구
낙성대동,서울특별시 관악구 남부순환로1840,낙성대동 남부순환로 1840
남현동,서울특별시 관악구 사당역 6번출구,남현동 사당역6번출구
인헌동,서울특별시 관악구 남부순환로 1934 ,인헌동 낙성대역2번출구
인헌동,서울특별시 관악구 남부순환로 1944,인헌동 낙성대역1번출구
인헌동,서울특별시 관악구 남부순환로 1926,인헌도 낙성대역3번출구
남현동,서울특별시 관악구 과천대로 947 ,사당역4번출구
미성동,서울특별시 관악구 남부순환로 1478,미성동sk주유소앞
서원동,서울특별시 관악구 신림로 330,신림역2번출구
서림동,서울특별시 관악구 신림로 164,서림동112-158 금비앞
대학동,서울특별시 관악구 신림로165,대학동주미쎈터앞(신림로165)
난향동,서울특별시 관악구 난곡로 55,난향동산복터널
조원동,서울특별시 관악구 남부순환로1447,조원동 남부순환로1447
삼성동,서울특별시 관악구 호암로 541,삼성동304-13 태흥아파트앞
서림동,서울특별시 관악구 신림로78,서림동 신림로78
대학동,서울특별시 관악구 신림로 67,대학동 산업정보학교앞
난향동,서울특별시 관악구 난곡로 117,난향동 신림복지관앞
신사동,서울특별시 관악구 신사로 104,신사동 신대방역1번출구게시대옆
조원동,서울특별시 관악구 난곡로 367,조원동 신대방역2번출구게시대옆
미성동,서울특별시 관악구 난곡로 249,미성동 주민센터앞
미성동,서울특별시 관악구 난곡로 264,미성동 난곡로264
조원동,서울특별시 관악구 시흥대로576,조원동 시흥대로576
조원동,서울특별시 관악구 조원중앙로1길 6,조원동 1659-40(독도참치)
서원동,서울특별시 관악구 남부순환로 1634 ,남부순화로 1634 (서원동)
서원동,서울특별시 관악구 신림로59길 14,신림로59길14(서원동)
서원동,서울특별시 관악구 신림로59길 14,신림로59길14(서원동)
청룡동,서울특별시 관악구 관악로 171,서울대입구역3번출구
청룡동,서울특별시 관악구 관악로 171,서울대입구역3번출구
낙성대동,서울특별시 관악구 남부순환로 1900,남부순환로1900(낙성대동)
신림동,서울특별시 관악구 남부순환로 1599-3,남부순환로1599-3(신림동)
신림동,서울특별시 관악구 신림로 355-1,신림로355-1(신림동)
행운동,서울특별시 관악구 남부순환로 1841-1,남부순환로1841-1(행운동)
신림동,서울특별시 관악구 남부순환로 1605,남부순환로1605(신림동)
신림동,서울특별시 관악구 남부순환로 1587,남부순화로1587(신림동)
인헌동,서울특별시 남부순환로 1940,낙성대역 1번출구
중앙동,서울특별시 관악구 남부순환로 1785,남부순환로1785(중앙동)
신림동,서울특별시 관악구 신림로 340,르네상스앞(신림동)
신림동,서울특별시 관악구 신림로 340,르네상스앞(신림동)
삼성동,서울특별시 관악구 약수암길 43-1 ,구민제2운동장(삼성동)
조원동,서울특별시 관악구 남부순환로1417,남부순환로1417(조원동)
행운동,서울특별시 관악구 남부순환로1945,남부순환로1945(행운동)
청룡동,서울특별시 관악구 신림로26길 21 ,배할머니집앞(청룡동)
청림동,서울특별시 관악구 관악로 258,관악로258(청림동)
미성동,서울특별시 관악구 남부순환로 1474,남부순환로1474(미성동)
미성동,서울특별시 관악구 난곡로57길 4-5,난곡로57길4-5(미성동)
청룡동,서울특별시 관악구 관악로 133,건영아파트앞(청룡동)
청룡동,서울특별시 관악구 관악로 133,건영아파트앞(청룡동)
중앙동,서울특별시 관악구 관악로203,관악로203(중앙동)
신림동,서울특별시 관악구 남부순환로1587,남부순화로 1587(신림동)
행운동,서울특별시 관악구 남부순환로1841-1,남부순환로1841-1(행운동)
청룡동,서울특별시 관악구 남부순환로 7080앞,남부순환로 모아7080앞(청룡동)
낙성대동,서울특별시 관악구 관악로 168,관악로 168
낙성대동,서울특별시 관악구 관악로 172 ,관악로 172
낙성대동,서울특별시 관악구 남부순환로 1830,남부순환로 1830
낙성대동,서울특별시 관악구 남부순환로 1840,남부순환로 1840
행운동,서울특별시 관악구 남부순환로 1827,남부순환로 1827
행운동,서울특별시 관악구 봉천로 482,봉천로 482
중앙동,서울특별시 관악구 관악로 195,관악로 195
행운동,서울특별시 관악구 관악로 196,관악로 196
중앙동,서울특별시 관악구 관악로 185,관악로 185
중앙동,서울특별시 관악구 남부순환로 1817,남부순환로 1817
청룡동,서울특별시 관악구 남부순환로 1814,남부순환로 1814
청룡동,서울특별시 관악구 관악로 173,관악로 173
청룡동,서울특별시 관악구 관악로 161,관악로 161
서원동,서울특별시 관악구 신림로 312,신림로 312
서원동,서울특별시 관악구 신림로 328,신림로 328
서원동,서울특별시 관악구 남부순환로 1618,남부순환로 1618
신림동,서울특별시 관악구 남부순환로 1619,남부순환로 1619
신림동,서울특별시 관악구 남부순환로 1615,남부순환로 1615
신림동,서울특별시 관악구 신림로 360,신림로 360
신림동,서울특별시 관악구 신림로 355-1,신림로 355-1
신림동,서울특별시 관악구 남부순환로 1607,남부순환로 1607
신림동,서울특별시 관악구 남부순환로 1603,남부순환로 1603
신림동,서울특별시 관악구 남부순환로 1587,남부순환로 1587
서원동,서울특별시 관악구 남부순환로 1598,남부순환로 1598
서원동,서울특별시 관악구 남부순환로 1604,남부순환로 1604
서원동,서울특별시 관악구 신림로 327,신림로 327
서원동,서울특별시 관악구 신림로 315,신림로 315
대학동,서울특별시 관악구 신림로 137,신림로 137
대학동,서울특별시 관악구 신림로 111,신림로 111
대학동,서울특별시 관악구 신림로 105,신림로 105
대학동,서울특별시 관악구 신림로 97,신림로 97
신림동,서울특별시 관악구 신림로 373,신림로 373
신림동,서울특별시 관악구 신림로 373,신림로 373
신림동,서울특별시 관악구 신림동길 8,신림동길 8
신림동,서울특별시 관악구 신림동길 8,신림동길 8
신림동,서울특별시 관악구 신림동길 16,신림동길 16
신림동,서울특별시 관악구 신림동길 16,신림동길 16
신림동,서울특별시 관악구 신림동길 28,신림동길 28
신림동,서울특별시 관악구 신림동길 28,신림동길 28
보라매동,서울특별시 관악구 봉천로 279,봉천로 279
보라매동,서울특별시 관악구 봉천로 279,봉천로 279
신림동,서울특별시 관악구 봉천로 212,봉천로 212
신림동,서울특별시 관악구 봉천로 212,봉천로 212
중앙동,서울특별시 관악구 은천로 114,은천로 114
중앙동,서울특별시 관악구 은천로 114,은천로 114
청룡동,서울특별시 관악구 쑥고개로 83,쑥고개로 83
청룡동,서울특별시 관악구 쑥고개로 83,쑥고개로 83
서원동,서울특별시 관악구 남부순환로 1682,남부순환로 1682
서원동,서울특별시 관악구 남부순환로 1682,남부순환로 1682
인헌동,서울특별시 관악구 남부순환로 1990,남부순환로 1990
인헌동,서울특별시 관악구 남부순환로 1990,남부순환로 1990
남현동,서울특별시 관악구 남부순환로 2056,남부순환로 2056
남현동,서울특별시 관악구 남부순환로 2056,남부순환로 2056
미성동,서울특별시 관악구 난곡로 247,난곡로 247
미성동,서울특별시 관악구 난곡로 247,난곡로 247
미성동,서울특별시 관악구 난곡로 225,난곡로 225
미성동,서울특별시 관악구 난곡로 225,난곡로 225
서원동,서울특별시 관악구 신림로 282,신림로 282
서원동,서울특별시 관악구 신림로 282,신림로 282
서원동,서울특별시 관악구 신림로 250,신림로 250
서원동,서울특별시 관악구 신림로 250,신림로 250
삼성동,서울특별시 관악구 호암로 589,호암로 589
삼성동,서울특별시 관악구 호암로 589,호암로 589
조원동,서울특별시 관악구 조원로12길 25,조원로12길 25
조원동,서울특별시 관악구 조원로12길 25,조원로12길 25
신사동,서울특별시 관악구 조원로 142,조원로 142
신사동,서울특별시 관악구 조원로 142,조원로 142
서원동,서울특별시 관악구 남부순환로 1682,남부순환로 1682
서원동,서울특별시 관악구 남부순환로 1682,남부순환로 1682
서원동,서울특별시 관악구 남부순환로 1840,남부순환로 1840
서원동,서울특별시 관악구 남부순환로 1840,남부순환로 1840
낙성대동,서울특별시 관악구 관악로 168,관악로 168
낙성대동,서울특별시 관악구 관악로 168,관악로 168
청룡동,서울특별시 관악구 관악로 161,관악로 161
청룡동,서울특별시 관악구 관악로 161,관악로 161
중앙동,서울특별시 관악구 남부순환로 1817,남부순환로 1817
중앙동,서울특별시 관악구 남부순환로 1817,남부순환로 1817
행운동,서울특별시 관악구 봉천로 482,봉천로 482
행운동,서울특별시 관악구 봉천로 482,봉천로 482
중앙동,서울특별시 관악구 관악로 195,관악로 195
중앙동,서울특별시 관악구 관악로 195,관악로 195
행운동,서울특별시 관악구 관악로 196,관악로 196
행운동,서울특별시 관악구 관악로 196,관악로 196
신림동,서울특별시 관악구 신림로 371,신림로 371
신림동,서울특별시 관악구 신림로 371,신림로 371
남현동,서울특별시 관악구 과천대로941,21028 버스정류장
대학동,서울특별시 관악구 관악로1,21373 버스정류장
은천동,서울특별시 관악구 은천로 69,은천로 69
은천동,서울특별시 관악구 은천로 69,은천로 69
청룡동,서울특별시 관악구 관악로 145,관악로 145
청룡동,서울특별시 관악구 관악로 145,관악로 145
청림동,서울특별시 관악구 관악로 306,관악로 306
청림동,서울특별시 관악구 관악로 306,관악로 306
남현동,서울특별시 관악구 남현동 1060-1,남현예술정원
남현동,서울특별시 관악구 남현동 1060-1,남현예술정원
남현동,서울특별시 관악구 남부순환로 2022,남부순환로 2022
남현동,서울특별시 관악구 남부순환로 2022,남부순환로 2022
조원동,서울특별시 관악구 구로디지털단지 중앙 정류장,구로디지털단지 중앙 정류장
조원동,서울특별시 관악구 구로디지털단지 중앙 정류장,구로디지털단지 중앙 정류장
서림동,서울특별시 관악구 신림로40,신림로40
서림동,서울특별시 관악구 신림로40,신림로40
청룡동,서울특별시 관악구 문영여고 정문,문영여고 정문
청룡동,서울특별시 관악구 문영여고 정문,문영여고 정문
낙성대동,서울특별시 관악구 문영여고 건너편,문영여고 건너편
낙성대동,서울특별시 관악구 문영여고 건너편,문영여고 건너편
삼성동,서울특별시 관악구 신림로 165,신림로 165
삼성동,서울특별시 관악구 신림로 165,신림로 165
미성동,서울특별시 관악구 미성체육관 입구,미성체육관 입구
미성동,서울특별시 관악구 미성체육관 입구,미성체육관 입구
신사동,서울특별시 관악구 난곡로 358-1,난곡로 358-1
신사동,서울특별시 관악구 난곡로 358-1,난곡로 358-1
조원동,서울특별시 관악구 난곡로 349-1,난곡로 349-1
조원동,서울특별시 관악구 난곡로 349-1,난곡로 349-1
