행정기관,인구수(계),인구수(남),인구수(여),구성비(계),구성비(남),구성비(여),성비,세대수,세대당인구
보라매동,"24,579","12,057","12,522",4.94,2.42,2.52,96.29,"12,459",1.97
청림동,"15,663","7,677","7,986",3.15,1.54,1.61,96.13,"6,585",2.38
성현동,"30,450","14,733","15,717",6.12,2.96,3.16,93.74,"12,597",2.42
행운동,"29,355","14,277","15,078",5.90,2.87,3.03,94.69,"17,349",1.69
낙성대동,"17,133","8,640","8,493",3.45,1.74,1.71,101.73,"11,152",1.54
청룡동,"35,068","16,853","18,215",7.05,3.39,3.66,92.52,"22,512",1.56
은천동,"34,182","16,717","17,465",6.87,3.36,3.51,95.72,"16,103",2.12
중앙동,"15,484","7,386","8,098",3.11,1.49,1.63,91.21,"9,747",1.59
인헌동,"26,258","12,809","13,449",5.28,2.58,2.70,95.24,"14,206",1.85
남현동,"18,465","8,932","9,533",3.71,1.80,1.92,93.70,"9,542",1.94
서원동,"22,961","11,815","11,146",4.62,2.38,2.24,106.00,"14,147",1.62
신원동,"18,433","9,232","9,201",3.71,1.86,1.85,100.34,"10,941",1.68
서림동,"23,837","13,065","10,772",4.79,2.63,2.17,121.29,"14,574",1.64
신사동,"22,905","11,453","11,452",4.61,2.30,2.30,100.01,"13,721",1.67
신림동,"21,914","11,411","10,503",4.41,2.29,2.11,108.65,"17,329",1.26
난향동,"15,901","7,830","8,071",3.20,1.57,1.62,97.01,"6,446",2.47
조원동,"17,583","8,905","8,678",3.54,1.79,1.75,102.62,"10,639",1.65
대학동,"23,714","14,326","9,388",4.77,2.88,1.89,152.60,"16,225",1.46
삼성동,"24,236","12,121","12,115",4.87,2.44,2.44,100.05,"11,355",2.13
미성동,"31,342","15,333","16,009",6.30,3.08,3.22,95.78,"14,206",2.21
난곡동,"27,619","13,840","13,779",5.55,2.78,2.77,100.44,"13,034",2.12
